SMILES,Ered(V)
Cc1c2c(cc3nsnc13)N(C)CCN2CCN(C)C,1.27
CCN1CCN(CCOC)c2c1cc1nsnc1c2C,1.27
CCNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.24
CCCN1CCN(CC)c2cc3nsnc3c(NCC)c21,1.22
CCNc1c2c(cc3nsnc13)N(CC)CCN2C(C)C,1.2
CCCNc1c2c(cc3nsnc13)N(CC)CCN2C,1.39
CCNc1c2c(cc3nsnc13)N(C(C)CC)CCN2C,1.22
Cc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,1.27
CCCNc1c2c(cc3nsnc13)N(C)CCN2CCC,1.28
CC(C)Nc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.24
CCN1CCN(C(C)C)c2cc3nsnc3c(C)c21,1.26
CNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.22
CCC(C)N1CCN(C)c2cc3nsnc3c(NC)c21,1.18
CCNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.23
CCCNc1c2c(cc3nsnc13)N(C)CCN2CC,1.14
CCCN1CCN(C)c2cc3nsnc3c(NC)c21,1.26
CC(C)CNc1c2c(cc3nsnc13)N(C)CCN2C,1.24
CC(C)N1c2cc3nsnc3cc2CC1C,1.29
CCCN1CCN(C(C)C)c2cc3nsnc3c(NC)c21,1.35
CCN1CCN(CC)c2c1cc1nsnc1c2NC,1.27
CC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.49
CCN1CCN(CC(C)C)c2cc3nsnc3c(NC)c21,1.3
CCCNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.08
CCCN1CCN(C(C)C)c2c1cc1nsnc1c2NC,1.19
CCN1CCN(C(C)C)c2cc3nsnc3c(NC)c21,1.18
CCN1CCN(C)c2cc3nsnc3c(NCCOC)c21,1.35
CCCCN1CCN(CC)c2cc3nsnc3c(NC)c21,1.36
CCCN1CCN(C(C)C)c2c1cc1nsnc1c2CC,1.38
CNc1c2c(cc3nsnc13)N(C)CCC2,1.28
CCCN1CCN(C)c2cc3nsnc3c(NCC)c21,1.37
CCNc1c2c(cc3nsnc13)N(CC)CCN2C,1.23
CCCN1CCN(CC)c2c1cc1nsnc1c2C,1.23
CCCNc1c2c(cc3nsnc13)N(C)CCN2C,1.24
CCNc1c2c(cc3nsnc13)N(C)CCN2CC,1.21
CCN(C)c1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.16
CCCCNc1c2c(cc3nsnc13)N(CC)CCN2C,1.18
CCc1c2c(cc3nsnc13)N(CC)CCN2C(C)CC,1.22
CCc1c2c(cc3nsnc13)N(CC)CCN2CC,1.25
CCN1CCN(CC)c2c1cc1nsnc1c2C,1.31
CCC(C)N1CCN(CC)c2cc3nsnc3c(NC)c21,1.17
CCN1CCN(CC(C)C)c2c1cc1nsnc1c2NC,1.34
CCCN1CCN(C)c2c1cc1nsnc1c2NC(C)C,1.19
CCN1CCN(C)c2cc3nsnc3c(C)c21,1.24
CCCN1CCN(C)c2c1cc1nsnc1c2NC,1.23
COCCNc1c2c(cc3nsnc13)N(C)CCN2C,1.16
CCc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.29
CCCN1CCN(C(C)CC)c2c1cc1nsnc1c2C,1.17
CCCCN1CCN(CC)c2c1cc1nsnc1c2CC,1.16
CCCN1CCN(CC)c2c1cc1nsnc1c2CC,1.26
CNc1c2c(cc3nsnc13)N(C)CCN2C,1.24
CCC(C)N1CCN(C)c2c1cc1nsnc1c2NC,1.11
CCCCN1CCN(C(C)C)c2c1cc1nsnc1c2C,1.16
CCNc1c2c(cc3nsnc13)N(CC)CCN2CC,1.3
CNc1c2c(cc3nsnc13)N(C)CCN2CCOC,1.16
CCCCN1CCN(C(C)CC)c2cc3nsnc3cc21,1.05
CCCN1CCN(CC)c2c1cc1nsnc1c2C(C)C,1.3
CCCc1c2c(cc3nsnc13)N(CC)CCN2C(C)C,1.27
CCN1CCN(C)c2c1cc1nsnc1c2NC(C)C,0.98
CCCCN1CCN(C)c2cc3nsnc3c(NC)c21,1.22
CCOCCN1CCN(C)c2cc3nsnc3c(C)c21,1.41
CCN1CN(CCOC)c2c1cc1nsnc1c2C,1.02
CCc1c2c(cc3nsnc13)N(C)CCN2C(C)CC,1.26
CCNc1cc(N(C)CC)cc2nsnc12,1.23
CCCOC1N(CC)c2cc3nsnc3cc2N1CC,1.08
CCN1CCN(C)c2cc3nsnc3c(C(C)C)c21,1.23
CCC(C)N1CCN(C)c2c1cc1nsnc1c2C,1.3
CCCN1CCN(CC)c2cc3nsnc3c(NC)c21,1.19
CCCN1CCN(CC)c2c1cc1nsnc1c2NCC,1.17
CCCOC1N(C)c2cc3nsnc3cc2N1CC,1.15
CCCOC1N(C)c2cc3nsnc3cc2N1C(C)C,1.1
CCCN1CCN(C)c2cc3nsnc3c(C)c21,1.2
CC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C,1.24
CNc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,1.35
CCCCN1CCN(CC)c2cc3nsnc3c(CC)c21,1.31
CCCN1CCN(C(C)C)c2cc3nsnc3cc21,1.18
CCCN1CCN(CC)c2c1cc1nsnc1c2NC,1.12
CCOC1N(C)c2cc3nsnc3cc2N1C(C)C,1.11
CCOC1N(C)c2cc3nsnc3cc2N1C(C)CC,1.11
CCCCN1CCN(C(C)C)c2cc3nsnc3cc21,1.13
CCC(C)N1CCN(C)c2cc3nsnc3c(C)c21,1.22
CCCCN1CCN(C)c2cc3nsnc3c(C)c21,1.13
CCCN1c2cc3nsnc3cc2N(C)C1OC(C)C,1.12
CCN1c2cc3nsnc3cc2N(CC)C1OC,0.89
CCN1CCN(C)c2c1cc1nsnc1c2NC,1.23
CCCc1c2c(cc3nsnc13)N(C)CCN2C(C)CC,1.19
CCCCN1CCN(C)c2cc3nsnc3c(CC)c21,1.38
Cc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.15
CCN1CCc2c1cc1nsnc1c2C,1.26
CNc1c2c(cc3nsnc13)N(CC(C)C)CCN2C,1.21
CCNc1c2c(cc3nsnc13)N(C)CCN2CCOC,1.22
